epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,79,,,,1.1622189283370972,1.1622189283370972,2.418998956680298
0,79,2.567682981491089,2.567682981491089,10.137660026550293,,,
1,159,,,,1.3321884870529175,1.3321884870529175,2.999241352081299
1,159,1.27957022190094,1.27957022190094,2.5559256076812744,,,
2,239,,,,1.3390296697616577,1.3390296697616577,3.006528854370117
2,239,1.2795722484588623,1.2795722484588623,2.424097776412964,,,
3,319,,,,1.4235461950302124,1.4235461950302124,3.384186267852783
3,319,1.2765909433364868,1.2765909433364868,2.349623203277588,,,
4,399,,,,1.3359081745147705,1.3359081745147705,2.9696555137634277
4,399,1.2462031841278076,1.2462031841278076,2.2930097579956055,,,
5,479,,,,1.1192395687103271,1.1192395687103271,2.305872917175293
5,479,1.2512869834899902,1.2512869834899902,2.3205833435058594,,,
6,559,,,,1.1165519952774048,1.1165519952774048,2.268440008163452
6,559,1.211156964302063,1.211156964302063,2.156733512878418,,,
7,639,,,,1.3401298522949219,1.3401298522949219,2.9470880031585693
7,639,1.2652181386947632,1.2652181386947632,2.297187328338623,,,
8,719,,,,1.1116008758544922,1.1116008758544922,2.210253953933716
8,719,1.2056710720062256,1.2056710720062256,2.2654097080230713,,,
9,799,,,,1.2675148248672485,1.2675148248672485,2.324712038040161
9,799,1.2004599571228027,1.2004599571228027,2.0771236419677734,,,
