epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,79,,,,,,,1.5022579431533813,1.5022579431533813,3.8779525756835938
0,79,,,,2.1663851737976074,2.1663851737976074,7.621092319488525,,,
1,159,,,,,,,1.5160757303237915,1.5160757303237915,2.878507137298584
1,159,,,,1.2373977899551392,1.2373977899551392,2.374812126159668,,,
2,239,,,,,,,1.8859440088272095,1.8859440088272095,5.805140495300293
2,239,,,,1.2870194911956787,1.2870194911956787,2.3940694332122803,,,
3,319,,,,,,,1.480440616607666,1.480440616607666,2.7848525047302246
3,319,,,,1.2640700340270996,1.2640700340270996,2.3617208003997803,,,
4,399,,,,,,,1.2184786796569824,1.2184786796569824,2.562241554260254
4,399,,,,1.273280382156372,1.273280382156372,2.483673572540283,,,
5,479,,,,,,,1.1086828708648682,1.1086828708648682,2.234959125518799
5,479,,,,1.3212565183639526,1.3212565183639526,2.480778455734253,,,
6,559,,,,,,,1.1780755519866943,1.1780755519866943,2.2288551330566406
6,559,,,,1.1701157093048096,1.1701157093048096,2.105668306350708,,,
7,639,,,,,,,1.0752699375152588,1.0752699375152588,2.052675724029541
7,639,,,,1.2304582595825195,1.2304582595825195,2.1403005123138428,,,
8,719,,,,,,,1.2697138786315918,1.2697138786315918,2.4999589920043945
8,719,,,,1.183883547782898,1.183883547782898,1.9652513265609741,,,
9,799,,,,,,,1.1541411876678467,1.1541411876678467,2.131770610809326
9,799,,,,1.264702558517456,1.264702558517456,2.426362991333008,,,
10,800,1.1806519031524658,1.1806519031524658,1.9763634204864502,,,,,,
