epoch,step,test_MAE,test_Preds,test_RMSE,test_Total_Loss,train_MAE,train_Preds,train_RMSE,train_Total_Loss,val_MAE,val_Preds,val_RMSE,val_Total_Loss
0,79,,,,,,,,,1.8529220819473267,6.256863594055176,1.8529220819473267,5.59042501449585
0,79,,,,,2.274461269378662,3.201068162918091,2.274461269378662,8.020732879638672,,,,
1,159,,,,,,,,,1.3067145347595215,5.233006477355957,1.3067145347595215,2.9015259742736816
1,159,,,,,1.4137580394744873,4.756986141204834,1.4137580394744873,2.865326404571533,,,,
2,239,,,,,,,,,1.33109450340271,5.292006969451904,1.33109450340271,2.9986209869384766
2,239,,,,,1.3461573123931885,4.59149169921875,1.3461573123931885,2.6956005096435547,,,,
3,319,,,,,,,,,1.3633774518966675,5.368417263031006,1.3633774518966675,3.1265182495117188
3,319,,,,,1.2883737087249756,4.756809234619141,1.2883737087249756,2.353954792022705,,,,
4,399,,,,,,,,,1.5310583114624023,5.759410858154297,1.5310583114624023,4.001494407653809
4,399,,,,,1.2079594135284424,4.642548561096191,1.2079594135284424,2.1356616020202637,,,,
5,479,,,,,,,,,1.1289706230163574,4.309804439544678,1.1289706230163574,2.2528488636016846
5,479,,,,,1.2916133403778076,4.783601760864258,1.2916133403778076,2.406960964202881,,,,
6,559,,,,,,,,,1.1964819431304932,4.9506144523620605,1.1964819431304932,2.490077495574951
6,559,,,,,1.2200595140457153,4.654585361480713,1.2200595140457153,2.162929058074951,,,,
7,639,,,,,,,,,1.1490848064422607,4.218169212341309,1.1490848064422607,2.2132480144500732
7,639,,,,,1.263164758682251,4.767502784729004,1.263164758682251,2.339681625366211,,,,
8,719,,,,,,,,,1.1232185363769531,4.754471302032471,1.1232185363769531,2.2997355461120605
8,719,,,,,1.220484972000122,4.706010341644287,1.220484972000122,2.2957797050476074,,,,
9,799,,,,,,,,,1.488268256187439,5.685070037841797,1.488268256187439,3.7874960899353027
9,799,,,,,1.2653759717941284,4.616671562194824,1.2653759717941284,2.246350049972534,,,,
10,800,1.3474233150482178,5.668524265289307,1.3474233150482178,2.9229445457458496,,,,,,,,
